file, timestamp, query, database, embedding_model, llm, query_time, generation_time, total_time, chunk_size, chunk_overlap
chroma_search.py,2025-04-02 20:54:00,What does the $gte operator mean in a Mongo query?,mongo,hkunlp/instructor-xl,mistral:latest,2.4055490493774414,74.63391971588135,77.03946876525879,100,20
chroma_search.py,2025-04-02 20:55:24,"In Redis, what is the difference between the INC and INCR commands?",mongo,hkunlp/instructor-xl,mistral:latest,3.888484239578247,40.68247437477112,44.570958614349365,100,20
chroma_search.py,2025-04-02 21:08:41,What does the $gte operator mean in a Mongo query?,mongo,all-mpnet-base-v2,mistral:latest,0.6124351024627686,105.20786666870117,105.82030177116394,100,20
chroma_search.py,2025-04-02 21:11:17,"In Redis, what is the difference between the INC and INCR commands?",mongo,all-mpnet-base-v2,mistral:latest,1.0309503078460693,143.80812621116638,144.83907651901245,100,20
chroma_search.py,2025-04-02 21:15:42,What does the $gte operator mean in a Mongo query?,mongo,all-mpnet-base-v2,llama2:7b,1.065669298171997,121.6702332496643,122.7359025478363,100,20
chroma_search.py,2025-04-02 21:17:45,"In Redis, what is the difference between the INC and INCR commands?",mongo,all-mpnet-base-v2,llama2:7b,1.2349705696105957,116.32819628715515,117.56316685676575,100,20
chroma_search.py,2025-04-02 21:19:49,What is the difference between a list where memory is contiguously allocated and a list where linked structures are used?,mongo,all-mpnet-base-v2,llama2:7b,1.7572109699249268,110.56600856781006,112.32321953773499,100,20
chroma_search.py,2025-04-02 21:21:32,What is disk-based indexing and why is it important for database systems?,mongo,all-mpnet-base-v2,llama2:7b,0.9768216609954834,97.28184413909912,98.2586658000946,100,20
chroma_search.py,2025-04-02 21:24:00,What are the key benefits of using NoSQL databases over traditional relational databases?,mongo,all-mpnet-base-v2,llama2:7b,0.9339003562927246,141.26604104042053,142.19994139671326,100,20
chroma_search.py,2025-04-02 21:26:12,What is the difference between strong consistency and eventual consistency in distributed databases?,mongo,all-mpnet-base-v2,llama2:7b,1.5074026584625244,124.40647196769714,125.91387462615967,100,20
chroma_search.py,2025-04-02 21:28:08,Describe a scenario where vertical scaling would be preferable to horizontal scaling.,mongo,all-mpnet-base-v2,llama2:7b,1.1567866802215576,110.88796591758728,112.04475259780884,100,20
chroma_search.py,2025-04-02 21:31:12,How does Neo4j leverage the Cypher query language to handle graph-based data,mongo,all-mpnet-base-v2,llama2:7b,1.2238421440124512,179.01623702049255,180.240079164505,100,20
chroma_search.py,2025-04-02 21:37:37,What does the $gte operator mean in a Mongo query?,mongo,all-mpnet-base-v2,llama2:7b,0.5615625381469727,174.95046663284302,175.51202917099,200,20
chroma_search.py,2025-04-02 21:40:16,"In Redis, what is the difference between the INC and INCR commands?",mongo,all-mpnet-base-v2,llama2:7b,1.2142772674560547,138.3454351425171,139.55971240997314,200,20
chroma_search.py,2025-04-02 21:42:10,What is the difference between a list where memory is contiguously allocated and a list where linked structures are used?,mongo,all-mpnet-base-v2,llama2:7b,1.3432016372680664,108.83778834342957,110.18098998069763,200,20
chroma_search.py,2025-04-02 21:44:39,What is disk-based indexing and why is it important for database systems?,mongo,all-mpnet-base-v2,llama2:7b,1.0524506568908691,144.85165572166443,145.9041063785553,200,20
chroma_search.py,2025-04-02 21:47:18,What are the key benefits of using NoSQL databases over traditional relational databases?,mongo,all-mpnet-base-v2,llama2:7b,1.095968246459961,153.55990076065063,154.6558690071106,200,20
chroma_search.py,2025-04-02 21:50:17,What is the difference between strong consistency and eventual consistency in distributed databases?,mongo,all-mpnet-base-v2,llama2:7b,1.4312829971313477,166.55464625358582,167.98592925071716,200,20
chroma_search.py,2025-04-02 21:52:14,Describe a scenario where vertical scaling would be preferable to horizontal scaling.,mongo,all-mpnet-base-v2,llama2:7b,1.1803381443023682,109.74359202384949,110.92393016815186,200,20
chroma_search.py,2025-04-02 21:55:03,How does Neo4j leverage the Cypher query language to handle graph-based data,mongo,all-mpnet-base-v2,llama2:7b,1.4914734363555908,162.45007061958313,163.94154405593872,200,20
chroma_search.py,2025-04-02 17:28:40,What does the $gte operator mean in a Mongo query?,mongo,nomic-embed-text,mistral:latest,0.05863690376281738,20.31704592704773,20.375682830810547,100,20
chroma_search.py,2025-04-02 17:29:30,"In Redis, what is the difference between the INC and INCR commands?",mongo,nomic-embed-text,mistral:latest,0.07347893714904785,33.88454294204712,33.95802187919617,100,20
chroma_search.py,2025-04-02 17:31:30,What is the difference between a list where memory is contiguously allocated and a list where linked structures are used?,mongo,nomic-embed-text,mistral:latest,0.061554908752441406,93.7796881198883,93.84124302864075,100,20
chroma_search.py,2025-04-02 17:33:31,What is disk-based indexing and why is it important for database systems?,mongo,nomic-embed-text,mistral:latest,0.11667203903198242,73.59290885925293,73.70958089828491,100,20
chroma_search.py,2025-04-02 17:35:52,What are the key benefits of using NoSQL databases over traditional relational databases?,mongo,nomic-embed-text,mistral:latest,0.05809521675109863,133.99154591560364,134.04964113235474,100,20
chroma_search.py,2025-04-02 17:37:10,What is the difference between strong consistency and eventual consistency in distributed databases?,mongo,nomic-embed-text,mistral:latest,0.05489778518676758,27.63414192199707,27.689039707183838,100,20
chroma_search.py,2025-04-02 17:37:54,Describe a scenario where vertical scaling would be preferable to horizontal scaling.,mongo,nomic-embed-text,mistral:latest,0.055677175521850586,33.59774994850159,33.65342712402344,100,20
chroma_search.py,2025-04-02 17:38:42,How does Neo4j leverage the Cypher query language to handle graph-based data,mongo,nomic-embed-text,mistral:latest,0.11040306091308594,33.974393129348755,34.08479619026184,100,20
chroma_search.py,2025-04-02 17:54:16,What does the $gte operator mean in a Mongo query?,mongo,all-mpnet-base-v2,mistral:latest,2.9921963214874268,35.53377604484558,38.52597236633301,100,20
chroma_search.py,2025-04-02 18:05:44,"In Redis, what is the difference between the INC and INCR commands?",mongo,all-mpnet-base-v2,mistral:latest,2.234140157699585,58.458597898483276,60.69273805618286,100,20
chroma_search.py,2025-04-02 18:07:37,What is the difference between a list where memory is contiguously allocated and a list where linked structures are used?,mongo,all-mpnet-base-v2,mistral:latest,2.455753803253174,66.85637593269348,69.31212973594666,100,20
chroma_search.py,2025-04-02 18:09:48,What is disk-based indexing and why is it important for database systems?,mongo,all-mpnet-base-v2,mistral:latest,2.714759111404419,52.99491310119629,55.70967221260071,100,20
chroma_search.py,2025-04-02 18:10:51,What are the key benefits of using NoSQL databases over traditional relational databases?,mongo,all-mpnet-base-v2,mistral:latest,2.8981618881225586,36.98413062095642,39.88229250907898,100,20
chroma_search.py,2025-04-02 18:12:44,What is the difference between strong consistency and eventual consistency in distributed databases?,mongo,all-mpnet-base-v2,mistral:latest,2.0838730335235596,83.51519012451172,85.59906315803528,100,20
chroma_search.py,2025-04-02 18:14:08,Describe a scenario where vertical scaling would be preferable to horizontal scaling.,mongo,all-mpnet-base-v2,mistral:latest,3.7190990447998047,30.740846157073975,34.45994520187378,100,20
chroma_search.py,2025-04-02 18:15:19,How does Neo4j leverage the Cypher query language to handle graph-based data,mongo,all-mpnet-base-v2,mistral:latest,2.741156816482544,36.09691500663757,38.83807182312012,100,20
chroma_search.py,2025-04-02 18:20:22,What does the $gte operator mean in a Mongo query?,mongo,all-mpnet-base-v2,mistral:latest,1.9267919063568115,21.007603883743286,22.934395790100098,200,20
chroma_search.py,2025-04-02 18:21:20,"In Redis, what is the difference between the INC and INCR commands?",mongo,all-mpnet-base-v2,mistral:latest,1.5796279907226562,26.06172490119934,27.641352891921997,200,20
chroma_search.py,2025-04-02 18:22:15,What is the difference between a list where memory is contiguously allocated and a list where linked structures are used?,mongo,all-mpnet-base-v2,mistral:latest,2.754244804382324,30.226606845855713,32.98085165023804,200,20
chroma_search.py,2025-04-02 18:23:14,What is disk-based indexing and why is it important for database systems?,mongo,all-mpnet-base-v2,mistral:latest,2.7105281352996826,31.81487798690796,34.52540612220764,200,20
chroma_search.py,2025-04-02 18:24:17,What are the key benefits of using NoSQL databases over traditional relational databases?,mongo,all-mpnet-base-v2,mistral:latest,2.9690287113189697,36.88316106796265,39.852189779281616,200,20
chroma_search.py,2025-04-02 18:25:38,What is the difference between strong consistency and eventual consistency in distributed databases?,mongo,all-mpnet-base-v2,mistral:latest,2.76179575920105,49.44428014755249,52.20607590675354,200,20
chroma_search.py,2025-04-02 18:27:33,Describe a scenario where vertical scaling would be preferable to horizontal scaling.,mongo,all-mpnet-base-v2,mistral:latest,3.4548799991607666,45.66778898239136,49.122668981552124,200,20
chroma_search.py,2025-04-02 18:29:18,How does Neo4j leverage the Cypher query language to handle graph-based data,mongo,all-mpnet-base-v2,mistral:latest,2.6054699420928955,41.03732109069824,43.64279103279114,200,20
chroma_search.py,2025-04-02 21:04:57,What does the $gte operator mean in a Mongo query?,mongo,nomic-embed-text,mistral:latest,0.049504995346069336,19.065573930740356,19.115078926086426,200,20
chroma_search.py,2025-04-02 21:05:58,"In Redis, what is the difference between the INC and INCR commands?",mongo,nomic-embed-text,mistral:latest,0.06673359870910645,42.68188285827637,42.748616456985474,200,20
chroma_search.py,2025-04-02 21:07:03,What is the difference between a list where memory is contiguously allocated and a list where linked structures are used?,mongo,nomic-embed-text,mistral:latest,0.04510021209716797,25.433237075805664,25.478337287902832,200,20
chroma_search.py,2025-04-02 21:08:16,What is disk-based indexing and why is it important for database systems?,mongo,nomic-embed-text,mistral:latest,0.058287858963012695,33.64666509628296,33.70495295524597,200,20
chroma_search.py,2025-04-02 21:09:19,What are the key benefits of using NoSQL databases over traditional relational databases?,mongo,nomic-embed-text,mistral:latest,0.11857104301452637,47.3675262928009,47.48609733581543,200,20
chroma_search.py,2025-04-02 21:10:43,What is the difference between strong consistency and eventual consistency in distributed databases?,mongo,nomic-embed-text,mistral:latest,0.053910017013549805,63.71133995056152,63.76524996757507,200,20
chroma_search.py,2025-04-02 21:11:51,Describe a scenario where vertical scaling would be preferable to horizontal scaling.,mongo,nomic-embed-text,mistral:latest,0.05979204177856445,48.27951788902283,48.33930993080139,200,20
chroma_search.py,2025-04-02 21:12:57,How does Neo4j leverage the Cypher query language to handle graph-based data,mongo,nomic-embed-text,mistral:latest,0.04555201530456543,32.519960165023804,32.56551218032837,200,20
